Category,Latin_Term,English_Term
External_Genitalia,Mons pubis,Pubic mound
External_Genitalia,Labia majora pudendi,Labia majora
External_Genitalia,Labia minora pudendi,Labia minora
External_Genitalia,Clitoris,Clitoris
External_Genitalia,Preputium clitoridis,Clitoral hood
External_Genitalia,Vestibulum vaginae,Vaginal vestibule
External_Genitalia,Meatus urethrae externus,External urethral orifice
External_Genitalia,Ostium vaginae,Vaginal orifice
External_Genitalia,Glandulae vestibulares majores,Greater vestibular glands
External_Genitalia,Glandulae paraurethrales,Paraurethral glands
Internal_Genitalia,Vagina,Vagina
Internal_Genitalia,Cervix uteri,Cervix of uterus
Internal_Genitalia,Corpus uteri,Body of uterus
Internal_Genitalia,Endometrium,Endometrium
Internal_Genitalia,Myometrium,Myometrium
Internal_Genitalia,Perimetrium,Perimetrium
Internal_Genitalia,Tubae uterinae,Uterine tubes (Fallopian tubes)
Internal_Genitalia,Fimbriae tubae uterinae,Fimbriae of uterine tube
Internal_Genitalia,Ovarium,Ovary
Reproductive_Ligaments,Ligamentum teres uteri,Round ligament of uterus
Reproductive_Ligaments,Ligamentum ovarii proprium,Ovarian ligament
Reproductive_Ligaments,Ligamentum latum uteri,Broad ligament of uterus
Reproductive_Ligaments,Ligamenta sacrouterina,Uterosacral ligaments
Secondary_Sexual_Characteristics,Glandulae mammariae,Mammary glands
Secondary_Sexual_Characteristics,Areola mammae,Areola of breast
Secondary_Sexual_Characteristics,Papilla mammae,Nipple
